mode,payload_bytes,endpoint,metric,attempted,n,mean,median,standard_deviation,ci95_low,ci95_high,minimum,maximum
native,1024,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,1024,client,application_framed_bytes_sent,16,16,1244.0,1244.0,0.0,1244.0,1244.0,1244.0,1244.0
native,1024,client,application_framed_bytes_received,16,16,1192.0,1192.0,0.0,1192.0,1192.0,1192.0,1192.0
native,1024,server,tls_handshake_ms,16,16,15.3138125,14.64335,7.0637689872451705,11.54979570055006,19.077829299449938,2.5955,27.7749
native,1024,server,channel_ready_ms,16,16,15.3231,14.65285,7.063894555460654,11.559016289971105,19.087183710028896,2.6037,27.7839
native,1024,server,ping_service_ms,16,16,0.3698625,0.3618,0.05648750746846599,0.3397624319691398,0.39996256803086017,0.2975,0.5653
native,1024,server,upload_receive_ms,16,16,0.46358125,0.45289999999999997,0.03184460642453181,0.44661245702697905,0.48055004297302095,0.4283,0.5262
native,1024,server,download_send_ms,16,16,0.29365625,0.2864,0.025384587679666306,0.28012975803149115,0.30718274196850887,0.278,0.3837
native,1024,server,transfer_total_ms,16,16,0.87371875,0.86405,0.06242950390907598,0.8404524155658765,0.9069850844341235,0.8066,1.0046
native,1024,server,throughput_mbps,16,16,18.83679566113135,18.9634308639071,1.2684081871725557,18.160908647598184,19.512682674664518,16.30897869798925,20.312422514257378
native,1024,server,process_cpu_ms,16,16,5.859375,0.0,7.8125,1.6963876063294476,10.022362393670551,0.0,15.625
native,1024,server,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,1024,server,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,1024,server,application_framed_bytes_sent,16,16,1192.0,1192.0,0.0,1192.0,1192.0,1192.0,1192.0
native,1024,server,application_framed_bytes_received,16,16,1244.0,1244.0,0.0,1244.0,1244.0,1244.0,1244.0
native,102400,client,tcp_connect_ms,16,16,15.6099,18.7049,8.10145862175448,11.292937425573438,19.92686257442656,2.4977,24.6492
native,102400,client,tls_handshake_ms,16,16,2.97568125,2.9240000000000004,0.24363887543862947,2.8458552574164373,3.105507242583563,2.7437,3.6457
native,102400,client,channel_ready_ms,16,16,18.61545625,21.5834,8.202660870064767,14.244566804030804,22.9863456959692,5.2579,27.6454
native,102400,client,ping_rtt_ms,16,16,0.25295625,0.2491,0.04163501681277432,0.23077051558376435,0.27514198441623566,0.189,0.307
native,102400,client,upload_send_ms,16,16,0.7356625,0.73335,0.026750099688287763,0.7214083780439331,0.7499166219560669,0.6983,0.7876
